section,age,group,persons,males,females,source_image
2. Brahmanic Hindus.,20-30,DIVORCED,3,2,1,Adilabad.png
2. Brahmanic Hindus.,30-40,POPULATION,1602,832,770,Adilabad.png
2. Brahmanic Hindus.,30-40,UNMARRIED,31,29,2,Adilabad.png
2. Brahmanic Hindus.,30-40,MARRIED,1408,780,628,Adilabad.png
2. Brahmanic Hindus.,30-40,WIDOWED,158,20,138,Adilabad.png
2. Brahmanic Hindus.,30-40,DIVORCED,5,3,2,Adilabad.png
2. Brahmanic Hindus.,40-50,POPULATION,834,481,353,Adilabad.png
2. Brahmanic Hindus.,40-50,UNMARRIED,18,17,1,Adilabad.png
2. Brahmanic Hindus.,40-50,MARRIED,633,431,202,Adilabad.png
2. Brahmanic Hindus.,40-50,WIDOWED,182,32,150,Adilabad.png
2. Brahmanic Hindus.,40-50,DIVORCED,1,1,0,Adilabad.png
2. Brahmanic Hindus.,50-60,POPULATION,443,221,222,Adilabad.png
2. Brahmanic Hindus.,50-60,UNMARRIED,11,11,0,Adilabad.png
2. Brahmanic Hindus.,50-60,MARRIED,272,179,93,Adilabad.png
2. Brahmanic Hindus.,50-60,WIDOWED,155,30,125,Adilabad.png
2. Brahmanic Hindus.,50-60,DIVORCED,5,1,4,Adilabad.png
2. Brahmanic Hindus.,60 & over,POPULATION,325,152,173,Adilabad.png
2. Brahmanic Hindus.,60 & over,UNMARRIED,5,5,0,Adilabad.png
2. Brahmanic Hindus.,60 & over,MARRIED,163,119,44,Adilabad.png
2. Brahmanic Hindus.,60 & over,WIDOWED,150,23,127,Adilabad.png
2. Brahmanic Hindus.,60 & over,DIVORCED,7,5,2,Adilabad.png
2. Brahmanic Hindus.,Total,POPULATION,12808,5917,6891,Adilabad.png
2. Brahmanic Hindus.,Total,UNMARRIED,6026,2877,3149,Adilabad.png
2. Brahmanic Hindus.,Total,MARRIED,5986,2913,3073,Adilabad.png
2. Brahmanic Hindus.,Total,WIDOWED,773,115,658,Adilabad.png
2. Brahmanic Hindus.,Total,DIVORCED,23,12,11,Adilabad.png
3. Other Hindus,0-1,POPULATION,14192,7370,6822,Adilabad.png
3. Other Hindus,0-1,UNMARRIED,14084,7322,6762,Adilabad.png
3. Other Hindus,0-1,MARRIED,108,48,60,Adilabad.png
3. Other Hindus,0-1,WIDOWED,0,0,0,Adilabad.png
3. Other Hindus,0-1,DIVORCED,0,0,0,Adilabad.png
3. Other Hindus,1-5,POPULATION,52674,23525,29149,Adilabad.png
3. Other Hindus,1-5,UNMARRIED,49305,22701,26604,Adilabad.png
3. Other Hindus,1-5,MARRIED,3082,700,2382,Adilabad.png
3. Other Hindus,1-5,WIDOWED,286,123,163,Adilabad.png
3. Other Hindus,1-5,DIVORCED,1,1,0,Adilabad.png
3. Other Hindus,5-10,POPULATION,49312,30223,19089,Adilabad.png
3. Other Hindus,5-10,UNMARRIED,37054,24822,12232,Adilabad.png
3. Other Hindus,5-10,MARRIED,11856,5271,6585,Adilabad.png
3. Other Hindus,5-10,WIDOWED,389,128,261,Adilabad.png
3. Other Hindus,5-10,DIVORCED,13,2,11,Adilabad.png
3. Other Hindus,10-15,POPULATION,44426,24079,20347,Adilabad.png
3. Other Hindus,10-15,UNMARRIED,19398,13463,5935,Adilabad.png
3. Other Hindus,10-15,MARRIED,24159,10418,13741,Adilabad.png
3. Other Hindus,10-15,WIDOWED,814,186,628,Adilabad.png
3. Other Hindus,10-15,DIVORCED,55,12,43,Adilabad.png
3. Other Hindus,15-20,POPULATION,32835,15021,17814,Adilabad.png
3. Other Hindus,15-20,UNMARRIED,6910,4224,2686,Adilabad.png
3. Other Hindus,15-20,MARRIED,24633,10629,14004,Adilabad.png
3. Other Hindus,15-20,WIDOWED,1149,131,1018,Adilabad.png
3. Other Hindus,15-20,DIVORCED,143,37,106,Adilabad.png
3. Other Hindus,20-30,POPULATION,83500,43467,40033,Adilabad.png
3. Other Hindus,20-30,UNMARRIED,5433,4623,810,Adilabad.png
3. Other Hindus,20-30,MARRIED,74340,37937,36403,Adilabad.png
3. Other Hindus,20-30,WIDOWED,3341,783,2558,Adilabad.png
3. Other Hindus,20-30,DIVORCED,386,124,262,Adilabad.png
3. Other Hindus,30-40,POPULATION,55109,29079,26030,Adilabad.png
3. Other Hindus,30-40,UNMARRIED,2761,2346,415,Adilabad.png
3. Other Hindus,30-40,MARRIED,46885,25593,21292,Adilabad.png
3. Other Hindus,30-40,WIDOWED,5114,1021,4093,Adilabad.png
3. Other Hindus,30-40,DIVORCED,349,119,230,Adilabad.png
3. Other Hindus,40-50,POPULATION,37457,20901,16556,Adilabad.png
3. Other Hindus,40-50,UNMARRIED,1804,1660,144,Adilabad.png
3. Other Hindus,40-50,MARRIED,30191,17898,12293,Adilabad.png
3. Other Hindus,40-50,WIDOWED,5194,1233,3961,Adilabad.png
3. Other Hindus,40-50,DIVORCED,268,110,158,Adilabad.png
3. Other Hindus,50-60,POPULATION,29104,11681,17423,Adilabad.png
3. Other Hindus,50-60,UNMARRIED,627,547,80,Adilabad.png
3. Other Hindus,50-60,MARRIED,19559,9879,9680,Adilabad.png
3. Other Hindus,50-60,WIDOWED,8711,1144,7567,Adilabad.png
3. Other Hindus,50-60,DIVORCED,207,111,96,Adilabad.png
3. Other Hindus,60 & over,POPULATION,20090,7150,12940,Adilabad.png
3. Other Hindus,60 & over,UNMARRIED,360,326,34,Adilabad.png
3. Other Hindus,60 & over,MARRIED,8821,5444,3377,Adilabad.png
3. Other Hindus,60 & over,WIDOWED,10735,1308,9427,Adilabad.png
3. Other Hindus,60 & over,DIVORCED,174,72,102,Adilabad.png
3. Other Hindus,Total,POPULATION,418699,212496,206203,Adilabad.png
3. Other Hindus,Total,UNMARRIED,137736,82034,55702,Adilabad.png
3. Other Hindus,Total,MARRIED,243634,123817,119817,Adilabad.png
3. Other Hindus,Total,WIDOWED,35733,6057,29676,Adilabad.png
3. Other Hindus,Total,DIVORCED,1596,588,1008,Adilabad.png
1. ALL COMMUNITIES.,0-1,POPULATION,21187,9627,11560,Atraf-i-balda.png
1. ALL COMMUNITIES.,0-1,UNMARRIED,21152,9613,11539,Atraf-i-balda.png
1. ALL COMMUNITIES.,0-1,MARRIED,31,14,17,Atraf-i-balda.png
1. ALL COMMUNITIES.,0-1,WIDOWED,4,0,4,Atraf-i-balda.png
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0,Atraf-i-balda.png
1. ALL COMMUNITIES.,1-5,POPULATION,81447,40093,41354,Atraf-i-balda.png
1. ALL COMMUNITIES.,1-5,UNMARRIED,81129,39947,41182,Atraf-i-balda.png
1. ALL COMMUNITIES.,1-5,MARRIED,247,136,111,Atraf-i-balda.png
1. ALL COMMUNITIES.,1-5,WIDOWED,69,8,61,Atraf-i-balda.png
1. ALL COMMUNITIES.,1-5,DIVORCED,2,2,0,Atraf-i-balda.png
1. ALL COMMUNITIES.,5-10,POPULATION,65477,36181,29296,Atraf-i-balda.png
1. ALL COMMUNITIES.,5-10,UNMARRIED,60934,34791,26143,Atraf-i-balda.png
1. ALL COMMUNITIES.,5-10,MARRIED,4248,1349,2899,Atraf-i-balda.png
1. ALL COMMUNITIES.,5-10,WIDOWED,290,37,253,Atraf-i-balda.png
1. ALL COMMUNITIES.,5-10,DIVORCED,5,4,1,Atraf-i-balda.png
1. ALL COMMUNITIES.,10-15,POPULATION,57220,31357,25863,Atraf-i-balda.png
1. ALL COMMUNITIES.,10-15,UNMARRIED,45379,27993,17386,Atraf-i-balda.png
1. ALL COMMUNITIES.,10-15,MARRIED,11088,3310,7778,Atraf-i-balda.png
1. ALL COMMUNITIES.,10-15,WIDOWED,737,48,689,Atraf-i-balda.png
1. ALL COMMUNITIES.,10-15,DIVORCED,16,6,10,Atraf-i-balda.png
1. ALL COMMUNITIES.,15-20,POPULATION,50830,27638,23192,Atraf-i-balda.png
1. ALL COMMUNITIES.,15-20,UNMARRIED,20370,15490,4880,Atraf-i-balda.png
1. ALL COMMUNITIES.,15-20,MARRIED,28608,11787,16821,Atraf-i-balda.png
1. ALL COMMUNITIES.,15-20,WIDOWED,1716,326,1390,Atraf-i-balda.png
1. ALL COMMUNITIES.,15-20,DIVORCED,136,35,101,Atraf-i-balda.png
1. ALL COMMUNITIES.,20-30,POPULATION,103801,51354,52447,Atraf-i-balda.png
1. ALL COMMUNITIES.,20-30,UNMARRIED,15763,13488,2275,Atraf-i-balda.png
1. ALL COMMUNITIES.,20-30,MARRIED,81111,36685,44426,Atraf-i-balda.png
1. ALL COMMUNITIES.,20-30,WIDOWED,6472,1067,5405,Atraf-i-balda.png
1. ALL COMMUNITIES.,20-30,DIVORCED,555,114,441,Atraf-i-balda.png
1. ALL COMMUNITIES.,30-40,POPULATION,82939,41794,41145,Atraf-i-balda.png
1. ALL COMMUNITIES.,30-40,UNMARRIED,3792,2961,831,Atraf-i-balda.png
1. ALL COMMUNITIES.,30-40,MARRIED,68147,36663,31484,Atraf-i-balda.png
1. ALL COMMUNITIES.,30-40,WIDOWED,10397,1923,8474,Atraf-i-balda.png
1. ALL COMMUNITIES.,30-40,DIVORCED,503,247,256,Atraf-i-balda.png
1. ALL COMMUNITIES.,40-50,POPULATION,67041,32728,34313,Atraf-i-balda.png
1. ALL COMMUNITIES.,40-50,UNMARRIED,1203,905,298,Atraf-i-balda.png
1. ALL COMMUNITIES.,40-50,MARRIED,50285,29049,21236,Atraf-i-balda.png
1. ALL COMMUNITIES.,40-50,WIDOWED,14948,2531,12417,Atraf-i-balda.png
1. ALL COMMUNITIES.,40-50,DIVORCED,605,243,362,Atraf-i-balda.png
1. ALL COMMUNITIES.,50-60,POPULATION,45418,21097,24321,Atraf-i-balda.png
1. ALL COMMUNITIES.,50-60,UNMARRIED,798,644,154,Atraf-i-balda.png
1. ALL COMMUNITIES.,50-60,MARRIED,30602,17574,13028,Atraf-i-balda.png
1. ALL COMMUNITIES.,50-60,WIDOWED,13554,2662,10892,Atraf-i-balda.png
1. ALL COMMUNITIES.,50-60,DIVORCED,464,217,247,Atraf-i-balda.png
1. ALL COMMUNITIES.,60 & over,POPULATION,37133,17625,19508,Atraf-i-balda.png
1. ALL COMMUNITIES.,60 & over,UNMARRIED,436,324,112,Atraf-i-balda.png
1. ALL COMMUNITIES.,60 & over,MARRIED,19664,12456,7208,Atraf-i-balda.png
1. ALL COMMUNITIES.,60 & over,WIDOWED,16531,4558,11973,Atraf-i-balda.png
1. ALL COMMUNITIES.,60 & over,DIVORCED,502,287,215,Atraf-i-balda.png
1. ALL COMMUNITIES.,Total,POPULATION,612493,309494,302999,Atraf-i-balda.png
1. ALL COMMUNITIES.,Total,UNMARRIED,250956,146156,104800,Atraf-i-balda.png
1. ALL COMMUNITIES.,Total,MARRIED,294031,149023,145008,Atraf-i-balda.png
1. ALL COMMUNITIES.,Total,WIDOWED,64718,13160,51558,Atraf-i-balda.png
1. ALL COMMUNITIES.,Total,DIVORCED,2788,1155,1633,Atraf-i-balda.png
2. Brahmanic Hindus.,0-1,POPULATION,387,146,241,Atraf-i-balda.png
2. Brahmanic Hindus.,0-1,UNMARRIED,387,146,241,Atraf-i-balda.png
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,1-5,POPULATION,1583,578,1005,Atraf-i-balda.png
2. Brahmanic Hindus.,1-5,UNMARRIED,1578,578,1000,Atraf-i-balda.png
2. Brahmanic Hindus.,1-5,MARRIED,5,0,5,Atraf-i-balda.png
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,5-10,POPULATION,1255,576,679,Atraf-i-balda.png
2. Brahmanic Hindus.,5-10,UNMARRIED,1202,558,644,Atraf-i-balda.png
2. Brahmanic Hindus.,5-10,MARRIED,53,18,35,Atraf-i-balda.png
2. Brahmanic Hindus.,5-10,WIDOWED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,10-15,POPULATION,1691,622,1069,Atraf-i-balda.png
2. Brahmanic Hindus.,10-15,UNMARRIED,1314,556,758,Atraf-i-balda.png
2. Brahmanic Hindus.,10-15,MARRIED,377,66,311,Atraf-i-balda.png
2. Brahmanic Hindus.,10-15,WIDOWED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,15-20,POPULATION,1518,963,555,Atraf-i-balda.png
2. Brahmanic Hindus.,15-20,UNMARRIED,778,611,167,Atraf-i-balda.png
2. Brahmanic Hindus.,15-20,MARRIED,726,352,374,Atraf-i-balda.png
2. Brahmanic Hindus.,15-20,WIDOWED,14,0,14,Atraf-i-balda.png
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,20-30,POPULATION,2196,1329,867,Atraf-i-balda.png
2. Brahmanic Hindus.,20-30,UNMARRIED,542,520,22,Atraf-i-balda.png
2. Brahmanic Hindus.,20-30,MARRIED,1619,806,813,Atraf-i-balda.png
2. Brahmanic Hindus.,20-30,WIDOWED,35,3,32,Atraf-i-balda.png
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,30-40,POPULATION,1826,1060,766,Atraf-i-balda.png
2. Brahmanic Hindus.,30-40,UNMARRIED,138,138,0,Atraf-i-balda.png
2. Brahmanic Hindus.,30-40,MARRIED,1623,920,703,Atraf-i-balda.png
2. Brahmanic Hindus.,30-40,WIDOWED,65,2,63,Atraf-i-balda.png
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,40-50,POPULATION,1535,782,753,Atraf-i-balda.png
2. Brahmanic Hindus.,40-50,UNMARRIED,35,35,0,Atraf-i-balda.png
2. Brahmanic Hindus.,40-50,MARRIED,1414,741,673,Atraf-i-balda.png
2. Brahmanic Hindus.,40-50,WIDOWED,86,6,80,Atraf-i-balda.png
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,50-60,POPULATION,1322,610,712,Atraf-i-balda.png
2. Brahmanic Hindus.,50-60,UNMARRIED,5,5,0,Atraf-i-balda.png
2. Brahmanic Hindus.,50-60,MARRIED,1228,593,635,Atraf-i-balda.png
2. Brahmanic Hindus.,50-60,WIDOWED,89,12,77,Atraf-i-balda.png
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,60 & over,POPULATION,671,275,396,Atraf-i-balda.png
2. Brahmanic Hindus.,60 & over,UNMARRIED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,60 & over,MARRIED,583,266,317,Atraf-i-balda.png
2. Brahmanic Hindus.,60 & over,WIDOWED,88,9,79,Atraf-i-balda.png
2. Brahmanic Hindus.,60 & over,DIVORCED,0,0,0,Atraf-i-balda.png
2. Brahmanic Hindus.,Total,POPULATION,13984,6941,7043,Atraf-i-balda.png
2. Brahmanic Hindus.,Total,UNMARRIED,5979,3147,2832,Atraf-i-balda.png
2. Brahmanic Hindus.,Total,MARRIED,7628,3762,3866,Atraf-i-balda.png
2. Brahmanic Hindus.,Total,WIDOWED,377,32,345,Atraf-i-balda.png
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0,Atraf-i-balda.png
3. Other Hindus.,Total,POPULATION,353795,178536,175259,Atraf-i-balda.png
3. Other Hindus.,Total,UNMARRIED,142933,83845,59088,Atraf-i-balda.png
3. Other Hindus.,Total,MARRIED,167527,85243,82284,Atraf-i-balda.png
3. Other Hindus.,Total,WIDOWED,41645,8738,32907,Atraf-i-balda.png
3. Other Hindus.,Total,DIVORCED,1690,710,980,Atraf-i-balda.png
3. Other Hindus.,0-1,POPULATION,12076,5397,6679,Atraf-i-balda.png
3. Other Hindus.,0-1,UNMARRIED,12067,5391,6676,Atraf-i-balda.png
3. Other Hindus.,0-1,MARRIED,9,6,3,Atraf-i-balda.png
3. Other Hindus.,0-1,WIDOWED,0,0,0,Atraf-i-balda.png
3. Other Hindus.,0-1,DIVORCED,0,0,0,Atraf-i-balda.png
3. Other Hindus.,1-5,POPULATION,44581,21098,23483,Atraf-i-balda.png
3. Other Hindus.,1-5,UNMARRIED,44411,21003,23408,Atraf-i-balda.png
3. Other Hindus.,1-5,MARRIED,137,92,45,Atraf-i-balda.png
3. Other Hindus.,1-5,WIDOWED,31,1,30,Atraf-i-balda.png
3. Other Hindus.,1-5,DIVORCED,2,2,0,Atraf-i-balda.png
3. Other Hindus.,5-10,POPULATION,42623,23768,18855,Atraf-i-balda.png
3. Other Hindus.,5-10,UNMARRIED,39348,22944,16404,Atraf-i-balda.png
3. Other Hindus.,5-10,MARRIED,3102,806,2296,Atraf-i-balda.png
3. Other Hindus.,5-10,WIDOWED,169,14,155,Atraf-i-balda.png
3. Other Hindus.,5-10,DIVORCED,4,4,0,Atraf-i-balda.png
3. Other Hindus.,10-15,POPULATION,33926,19618,14308,Atraf-i-balda.png
3. Other Hindus.,10-15,UNMARRIED,27301,17510,9791,Atraf-i-balda.png
3. Other Hindus.,10-15,MARRIED,6229,2083,4146,Atraf-i-balda.png
3. Other Hindus.,10-15,WIDOWED,387,22,365,Atraf-i-balda.png
3. Other Hindus.,10-15,DIVORCED,9,3,6,Atraf-i-balda.png
3. Other Hindus.,15-20,POPULATION,25021,14874,10147,Atraf-i-balda.png
3. Other Hindus.,15-20,UNMARRIED,9032,8123,909,Atraf-i-balda.png
3. Other Hindus.,15-20,MARRIED,14939,6485,8454,Atraf-i-balda.png
3. Other Hindus.,15-20,WIDOWED,967,235,732,Atraf-i-balda.png
3. Other Hindus.,15-20,DIVORCED,83,31,52,Atraf-i-balda.png
3. Other Hindus.,20-30,POPULATION,59449,26928,32521,Atraf-i-balda.png
3. Other Hindus.,20-30,UNMARRIED,7863,6877,986,Atraf-i-balda.png
3. Other Hindus.,20-30,MARRIED,47028,19276,27752,Atraf-i-balda.png
3. Other Hindus.,20-30,WIDOWED,4321,710,3611,Atraf-i-balda.png
3. Other Hindus.,20-30,DIVORCED,237,65,172,Atraf-i-balda.png
3. Other Hindus.,30-40,POPULATION,47599,24252,23347,Atraf-i-balda.png
3. Other Hindus.,30-40,UNMARRIED,1516,1002,514,Atraf-i-balda.png
3. Other Hindus.,30-40,MARRIED,39163,21808,17355,Atraf-i-balda.png
3. Other Hindus.,30-40,WIDOWED,6536,1281,5255,Atraf-i-balda.png
3. Other Hindus.,30-40,DIVORCED,384,161,223,Atraf-i-balda.png
1. ALL COMMUNITIES.,0-1,POPULATION,36955,17857,19098,Aurangabad.png
1. ALL COMMUNITIES.,0-1,UNMARRIED,36672,17769,18903,Aurangabad.png
1. ALL COMMUNITIES.,0-1,MARRIED,271,88,183,Aurangabad.png
1. ALL COMMUNITIES.,0-1,WIDOWED,12,0,12,Aurangabad.png
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0,Aurangabad.png
1. ALL COMMUNITIES.,1-5,POPULATION,135913,68893,67020,Aurangabad.png
1. ALL COMMUNITIES.,1-5,UNMARRIED,130126,65597,64529,Aurangabad.png
1. ALL COMMUNITIES.,1-5,MARRIED,5635,3296,2339,Aurangabad.png
1. ALL COMMUNITIES.,1-5,WIDOWED,152,0,152,Aurangabad.png
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0,Aurangabad.png
1. ALL COMMUNITIES.,5-10,POPULATION,123705,58303,65402,Aurangabad.png
1. ALL COMMUNITIES.,5-10,UNMARRIED,95474,50297,45177,Aurangabad.png
1. ALL COMMUNITIES.,5-10,MARRIED,27721,7914,19807,Aurangabad.png
1. ALL COMMUNITIES.,5-10,WIDOWED,455,83,372,Aurangabad.png
1. ALL COMMUNITIES.,5-10,DIVORCED,55,9,46,Aurangabad.png
1. ALL COMMUNITIES.,10-15,POPULATION,132482,66905,65577,Aurangabad.png
1. ALL COMMUNITIES.,10-15,UNMARRIED,68950,42582,26368,Aurangabad.png
1. ALL COMMUNITIES.,10-15,MARRIED,60228,22433,37795,Aurangabad.png
1. ALL COMMUNITIES.,10-15,WIDOWED,2118,1407,711,Aurangabad.png
1. ALL COMMUNITIES.,10-15,DIVORCED,1186,483,703,Aurangabad.png
1. ALL COMMUNITIES.,15-20,POPULATION,93919,45519,48400,Aurangabad.png
1. ALL COMMUNITIES.,15-20,UNMARRIED,29650,21636,8014,Aurangabad.png
1. ALL COMMUNITIES.,15-20,MARRIED,61488,22816,38672,Aurangabad.png
