TABLE VII.                                                                 Page, Sex &amp; Civil Condition.                                                                 56
AGE, SEX &amp; CIVIL CONDITION.                                                                 56

# TABLE VII.

## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 115,554 | 57,843 | 57,711 | 43,825 | 24,025 | 19,800 | 63,662 | 32,137 | 31,525 | 8,067 | 1,681 | 6,386  |
|   | 0-1 | 4,512 | 2,103 | 2,409 | 4,468 | 2,084 | 2,384 | 39 | 19 | 20 | 5 | 5 | 5  |
|   | 1-5 | 18,774 | 8,828 | 9,946 | 17,097 | 8,299 | 8,798 | 1,597 | 524 | 1,073 | 80 | 5 | 75  |
|   | 5-10 | 15,097 | 8,029 | 7,068 | 11,613 | 6,627 | 4,986 | 3,388 | 1,390 | 1,998 | 96 | 12 | 84  |
|   | 10-15 | 12,247 | 6,455 | 5,792 | 7,053 | 4,541 | 2,512 | 5,077 | 1,884 | 3,193 | 117 | 30 | 87  |
|   | 15-20 | 9,825 | 4,865 | 4,960 | 1,689 | 1,347 | 342 | 7,934 | 3,466 | 4,468 | 202 | 52 | 150  |
|   | 20-30 | 21,289 | 10,137 | 11,152 | 1,305 | 835 | 470 | 19,222 | 9,122 | 10,100 | 762 | 180 | 582  |
|   | 30-40 | 15,021 | 7,684 | 7,337 | 297 | 164 | 133 | 13,163 | 7,247 | 5,916 | 1,561 | 273 | 1,288  |
|   | 40-50 | 9,912 | 5,246 | 4,666 | 141 | 79 | 62 | 7,855 | 4,768 | 3,087 | 1,916 | 399 | 1,517  |
|   | 50-60 | 5,438 | 2,840 | 2,598 | 100 | 37 | 63 | 3,558 | 2,428 | 1,130 | 1,780 | 375 | 1,405  |
|   | 60 and over | 3,439 | 1,656 | 1,783 | 62 | 12 | 50 | 1,829 | 1,289 | 540 | 1,548 | 355 | 1,193  |
