TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 194,810 | 98,250 | 96,560 | 70,621 | 41,045 | 29,576 | 106,008 | 53,141 | 52,867 | 18,181 | 4,064 | 14,117  |
|   | 0-1 | 5,947 | 2,786 | 3,161 | 5,674 | 2,626 | 3,048 | 266 | 153 | 113 | 7 | 7 | 7  |
|   | 1-5 | 29,189 | 14,743 | 14,446 | 26,077 | 13,223 | 12,851 | 3,023 | 1,505 | 1,518 | 89 | 15 | 74  |
|   | 5-10 | 23,992 | 12,898 | 11,094 | 18,085 | 10,580 | 7,505 | 5,701 | 2,228 | 3,473 | 206 | 90 | 116  |
|   | 10-15 | 19,989 | 10,833 | 9,156 | 11,308 | 7,634 | 3,674 | 8,402 | 3,051 | 5,318 | 279 | 145 | 134  |
|   | 15-20 | 14,873 | 7,331 | 7,542 | 3,442 | 2,916 | 526 | 11,104 | 4,298 | 6,806 | 327 | 117 | 210  |
|   | 20-30 | 35,364 | 16,880 | 18,484 | 3,247 | 2,434 | 813 | 30,314 | 14,040 | 16,474 | 1,603 | 406 | 1,107  |
|   | 30-40 | 27,506 | 14,459 | 13,047 | 1,339 | 794 | 545 | 22,803 | 12,988 | 9,815 | 3,364 | 677 | 2,687  |
|   | 40-50 | 18,905 | 9,957 | 8,948 | 867 | 577 | 290 | 13,383 | 8,473 | 5,110 | 4,455 | 907 | 3,548  |
|   | 50-60 | 10,408 | 4,814 | 5,594 | 301 | 126 | 175 | 6,068 | 3,857 | 2,211 | 4,039 | 831 | 3,208  |
|   | 60 and over | 8,637 | 3,540 | 5,088 | 281 | 135 | 146 | 4,544 | 2,545 | 1,999 | 3,812 | 869 | 2,943  |
|   | Muslim | 195,586 | 99,636 | 95,950 | 80,311 | 46,130 | 34,181 | 97,699 | 49,470 | 48,229 | 17,576 | 4,036 | 13,540  |
|   | 0-1 | 5,517 | 2,759 | 2,758 | 5,190 | 2,519 | 2,671 | 308 | 230 | 78 | 19 | 10 | 9  |
|   | 1-5 | 26,877 | 13,248 | 13,029 | 24,822 | 12,015 | 12,777 | 1,971 | 1,190 | 781 | 84 | 13 | 71  |
|   | 5-10 | 24,630 | 12,819 | 11,811 | 20,879 | 10,948 | 9,931 | 3,569 | 1,797 | 1,772 | 182 | 74 | 108  |
|   | 10-15 | 21,270 | 11,308 | 9,962 | 14,902 | 8,868 | 6,034 | 6,202 | 2,370 | 3,832 | 165 | 70 | 96  |
|   | 15-20 | 17,729 | 8,740 | 8,989 | 5,940 | 4,643 | 1,297 | 11,425 | 3,966 | 7,459 | 364 | 131 | 233  |
|   | 20-30 | 36,383 | 17,325 | 19,058 | 5,363 | 4,499 | 864 | 29,466 | 12,512 | 16,954 | 1,554 | 314 | 1,240  |
|   | 30-40 | 26,705 | 14,285 | 12,420 | 1,384 | 1,153 | 231 | 22,212 | 12,511 | 9,701 | 3,109 | 621 | 2,488  |
|   | 40-50 | 16,802 | 9,079 | 7,723 | 752 | 635 | 117 | 12,153 | 7,678 | 4,475 | 3,897 | 766 | 3,131  |
|   | 50-60 | 10,253 | 5,230 | 5,023 | 426 | 289 | 137 | 5,981 | 4,060 | 1,921 | 3,846 | 881 | 2,965  |
|   | 60 and over | 9,420 | 4,843 | 4,377 | 653 | 531 | 122 | 4,412 | 3,156 | 1,256 | 4,355 | 1,156 | 3,199  |
