```json
[
  {
    "age": "30-34",
    "Females................................": 1,
    "Total................................": 2,
    "Males.................................": 1,
    "Females.................................": 1,
    "Total.................................": 2,
    "Males..................................": 1,
    "Females..................................": 1,
    "Total..................................": 2,
    "Males...................................": 1,
    "Females...................................": 1,
    "Total...................................": 2,
    "Males....................................": 1,
    "Females....................................": 1,
    "Total....................................": 2,
    "Males.....................................": 1,
    "Females.....................................": 1,
    "Total.....................................": 2,
    "Males......................................": 1,
    "Females......................................": 1,
    "Total......................................": 2,
    "Males.......................................": 1,
    "Females.......................................": 1,
    "Total.......................................": 2,
    "Males........................................": 1,
    "Females........................................": 1,
    "Total........................................": 2,
    "Males.........................................": 1,
    "Females.........................................": 1,
    "Total.........................................": 2,
    "Males..........................................": 1,
    "Females..........................................": 1,
    "Total..........................................": 2,
    "Males...........................................": 1,
    "Females...........................................": 1,
    "Total...........................................": 2,
    "Males............................................": 1,
    "Females............................................": 1,
    "Total............................................": 2,
    "Males.............................................": 1,
    "Females.............................................": 1,
    "Total.............................................": 2,
    "Males..............................................": 1,
    "Females..............................................": 1,
    "Total..............................................": 2,
    "Males...............................................": 1,
    "Females...............................................": 1,
    "Total...............................................": 2,
    "Males................................................": 1,
    "Females................................................": 1,
    "Total................................................": 2,
    "Males.................................................": 1,
    "Females.................................................": 1,
    "Total.................................................": 2,
    "Males..................................................": 1,
    "Females..................................................": 1,
    "Total..................................................": 2,
    "Males...................................................": 1,
    "Females...................................................": 1,
    "Total...................................................": 2,
    "Males....................................................": 1,
    "Females....................................................": 1,
    "Total....................................................": 2,
    "Males.....................................................": 1,
    "Females.....................................................": 1,
    "Total.....................................................": 2,
    "Males......................................................": 1,
    "Females......................................................": 1,
    "Total......................................................": 2,
    "Males.......................................................": 1,
    "Females.......................................................": 1,
    "Total.......................................................": 2,
    "Males........................................................": 1,
    "Females........................................................": 1,
    "Total........................................................": 2,
    "Males.........................................................": 1,
    "Females.........................................................": 1,
    "Total.........................................................": 2,
    "Males..........................................................": 1,
    "Females..........................................................": 1,
    "Total..........................................................": 2,
    "Males...........................................................": 1,
    "Females...........................................................": 1,
    "Total...........................................................": 2,
    "Males............................................................": 1,
    "Females............................................................": 1,
    "Total............................................................": 2,
    "Males.............................................................": 1,
    "Females.............................................................": 1,
    "Total.............................................................": 2,
    "Males..............................................................": 1,
    "Females..............................................................": 1,
    "Total..............................................................": 2,
    "Males...............................................................": 1,
    "Females...............................................................": 1,
    "Total...............................................................": 2,
    "Males................................................................": 1,
    "Females................................................................": 1,
    "Total................................................................": 2,
    "Males.................................................................": 1,
    "Females.................................................................": 1,
    "Total.................................................................": 2,
    "Males..................................................................": 1,
    "Females..................................................................": 1,
    "Total..................................................................": 2,
    "Males...................................................................": 1,
    "Females...................................................................": 1,
    "Total...................................................................": 2,
    "Males....................................................................": 1,
    "Females....................................................................": 1,
    "Total....................................................................": 2,
    "Males.....................................................................": 1,
    "Females.....................................................................": 1,
    "Total.....................................................................": 2,
    "Males......................................................................": 1,
    "Females......................................................................": 1,
    "Total......................................................................": 2,
    "Males.......................................................................": 1,
    "Females.......................................................................": 1,
    "Total.......................................................................": 2,
    "Males........................................................................": 1,
    "Females........................................................................": 1,
    "Total........................................................................": 2,
    "Males.........................................................................": 1,
    "Females.........................................................................": 1,
    "Total.........................................................................": 2,
    "Males..........................................................................": 1,
    "Females..........................................................................": 1,
    "Total..........................................................................": 2,
    "Males...........................................................................": 1,
    "Females...........................................................................": 1,
    "Total...........................................................................": 2,
    "Males............................................................................": 1,
    "Females............................................................................": 1,
    "Total............................................................................": 2,
    "Males.............................................................................": 1,
    "Females.............................................................................": 1,
    "Total.............................................................................": 2,
    "Males..............................................................................": 1,
    "Females..............................................................................": 1,
    "Total..............................................................................": 2,
    "Males...............................................................................": 1,
    "Females...............................................................................": 1,
    "Total...............................................................................": 2,
    "Males................................................................................": 1,
    "Females................................................................................": 1,
    "Total................................................................................": 2,
    "Males.................................................................................": 1,
    "Females.................................................................................": 1,
    "Total.................................................................................": 2,
    "Males..................................................................................": 1,
    "Females..................................................................................": 1,
    "Total..................................................................................": 2,
    "Males...................................................................................": 1,
    "Females...................................................................................": 1,
    "Total...................................................................................": 2,
    "Males....................................................................................": 1,
    "Females....................................................................................": 1,
    "Total....................................................................................": 2,
    "Males.....................................................................................": 1,
    "Females.....................................................................................": 1,
    "Total.....................................................................................": 2,
    "Males......................................................................................": 1,
    "Females......................................................................................": 1,
    "Total......................................................................................": 2,
    "Males.......................................................................................": 1,
    "Females.......................................................................................": 1,
    "Total.......................................................................................": 2,
    "Males........................................................................................": 1,
    "Females........................................................................................": 1,
    "Total........................................................................................": 2,
    "Males.........................................................................................": 1,
    "Females.........................................................................................": 1,
    "Total.........................................................................................": 2,
    "Males..........................................................................................": 1,
    "Females..........................................................................................": 1,
    "Total..........................................................................................": 2,
    "Males...........................................................................................": 1,
    "Females...........................................................................................": 1,
    "Total...........................................................................................": 2,
    "Males............................................................................................": 1,
    "Females............................................................................................": 1,
    "Total............................................................................................": 2,
    "Males.............................................................................................": 1,
    "Females.............................................................................................": 1,
    "Total.............................................................................................": 2,
    "Males..............................................................................................": 1,
    "Females..............................................................................................": 1,
    "Total..............................................................................................": 2,
    "Males...............................................................................................": 1,
    "Females...............................................................................................": 1,
    "Total...............................................................................................": 2,
    "Males................................................................................................": 1,
    "Females................................................................................................": 1,
    "Total................................................................................................": 2,
    "Males.................................................................................................": 1,
    "Females.................................................................................................": 1,
    "Total.................................................................................................": 2,
    "Males..................................................................................................": 1,
    "Females..................................................................................................": 1,
    "Total..................................................................................................": 2,
    "Males...................................................................................................": 1,
    "Females...................................................................................................": 1,
    "Total...................................................................................................": 2,
    "Males....................................................................................................": 1,
    "Females....................................................................................................": 1,
    "Total....................................................................................................": 2,
    "Males.....................................................................................................": 1,
    "Females.....................................................................................................": 1,
    "Total.....................................................................................................": 2,
    "Males......................................................................................................": 1,
    "Females......................................................................................................": 1,
    "Total......................................................................................................": 2,
    "Males.......................................................................................................": 1,
    "Females.......................................................................................................": 1,
    "Total.......................................................................................................": 2,
    "Males........................................................................................................": 1,
    "Females........................................................................................................": 1,
    "Total........................................................................................................": 2,
    "Males.........................................................................................................": 1,
    "Females.........................................................................................................": 1,
    "Total.........................................................................................................": 2,
    "Males..........................................................................................................": 1,
    "Females..........................................................................................................": 1,
    "Total..........................................................................................................": 2,
    "Males...........................................................................................................": 1,
    "Females...........................................................................................................": 1,
    "Total...........................................................................................................": 2,
    "Males............................................................................................................": 1,
    "Females............................................................................................................": 1,
    "Total............................................................................................................": 2,
    "Males.............................................................................................................": 1,
    "Females.............................................................................................................": 1,
    "Total.............................................................................................................": 2,
    "Males..............................................................................................................": 1,
    "Females..............................................................................................................": 1,
    "Total..............................................................................................................": 2,
    "Males...............................................................................................................": 1,
    "Females...............................................................................................................": 1,
    "Total...............................................................................................................": 2,
    "Males................................................................................................................": 1,
    "Females................................................................................................................": 1,
    "Total................................................................................................................": 2,
    "Males.................................................................................................................": 1,
    "Females.................................................................................................................": 1,
    "Total.................................................................................................................": 2,
    "Males..................................................................................................................": 1,
    "Females..................................................................................................................": 1,
    "Total..................................................................................................................": 2,
    "Males...................................................................................................................": 1,
    "Females...................................................................................................................": 1,
    "Total...................................................................................................................": 2,
    "Males....................................................................................................................": 1,
    "Females....................................................................................................................": 1,
    "Total....................................................................................................................": 2,
    "Males.....................................................................................................................": 1,
    "Females.....................................................................................................................": 1,
    "Total.....................................................................................................................": 2,
    "Males......................................................................................................................": 1,
    "Females......................................................................................................................": 1,
    "Total......................................................................................................................": 2,
    "Males.......................................................................................................................": 1,
    "Females.......................................................................................................................": 1,
    "Total.......................................................................................................................": 2,
    "Males........................................................................................................................": 1,
    "Females........................................................................................................................": 1,
    "Total........................................................................................................................": 2,
    "Males.........................................................................................................................": 1,
    "Females.........................................................................................................................": 1,
    "Total.........................................................................................................................": 2,
    "Males..........................................................................................................................": 1,
    "Females..........................................................................................................................": 1,
    "Total..........................................................................................................................": 2,
    "Males...........................................................................................................................": 1,
    "Females...........................................................................................................................": 1,
    "Total...........................................................................................................................": 2,
    "Males............................................................................................................................": 1,
    "Females............................................................................................................................": 1,
    "Total............................................................................................................................": 2,
    "Males.............................................................................................................................": 1,
    "Females.............................................................................................................................": 1,
    "Total.............................................................................................................................": 2,
    "Males..............................................................................................................................": 1,
    "Females..............................................................................................................................": 1,
    "Total..............................................................................................................................": 2,
    "Males...............................................................................................................................": 1,
    "Females...............................................................................................................................": 1,
    "Total...............................................................................................................................": 2,
    "Males................................................................................................................................": 1,
    "Females................................................................................................................................": 1,
    "Total................................................................................................................................": 2,
    "Males.................................................................................................................................": 1,
    "Females.................................................................................................................................": 1,
    "Total.................................................................................................................................": 2,
    "Males..................................................................................................................................": 1,
    "Females..................................................................................................................................": 1,
    "Total..................................................................................................................................": 2,
    "Males...................................................................................................................................": 1,
    "Females...................................................................................................................................": 1,
    "Total...................................................................................................................................": 2,
    "Males....................................................................................................................................": 1,
    "Females....................................................................................................................................": 1,
    "Total....................................................................................................................................": 2,
    "Males.....................................................................................................................................": 1,
    "Females.....................................................................................................................................": 1,
    "Total.....................................................................................................................................": 2,
    "Males......................................................................................................................................": 1,
    "Females......................................................................................................................................": 1,
    "Total......................................................................................................................................": 2,
    "Males.......................................................................................................................................": 1,
    "Females.......................................................................................................................................": 1,
    "Total.......................................................................................................................................": 2,
    "Males........................................................................................................................................": 1,
    "Females........................................................................................................................................": 1,
    "Total........................................................................................................................................": 2,
    "Males.........................................................................................................................................": 1,
    "Females.........................................................................................................................................": 1,
    "Total.........................................................................................................................................": 2,
    "Males..........................................................................................................................................": 1,
    "Females..........................................................................................................................................": 1,
    "Total..........................................................................................................................................": 2,
    "Males...........................................................................................................................................": 1,
    "Females...........................................................................................................................................": 1,
    "Total...........................................................................................................................................": 2,
    "Males............................................................................................................................................": 1,
    "Females............................................................................................................................................": 1,
    "Total............................................................................................................................................": 2,
    "Males.............................................................................................................................................": 1,
    "Females.............................................................................................................................................": 1,
    "Total.............................................................................................................................................": 2,
    "Males..............................................................................................................................................": 1,
    "Females..............................................................................................................................................": 1,
    "Total..............................................................................................................................................": 2,
    "Males...............................................................................................................................................": 1,
    "Females...............................................................................................................................................": 1,
    "Total...............................................................................................................................................": 2,
    "Males................................................................................................................................................": 1,
    "Females................................................................................................................................................": 1,
    "Total................................................................................................................................................": 2,
    "Males.................................................................................................................................................": 1,
    "Females.................................................................................................................................................": 1,
    "Total.................................................................................................................................................": 2,
    "Males..................................................................................................................................................": 1,
    "Females..................................................................................................................................................": 1,
    "Total..................................................................................................................................................": 2,
    "Males...................................................................................................................................................": 1,
    "Females...................................................................................................................................................": 1,
    "Total...................................................................................................................................................": 2,
    "Males....................................................................................................................................................": 1,
    "Females....................................................................................................................................................": 1,
    "Total....................................................................................................................................................": 2,
    "Males.....................................................................................................................................................": 1,
    "Females.....................................................................................................................................................": 1,
    "Total.....................................................................................................................................................": 2,
    "Males......................................................................................................................................................": 1,
    "Females......................................................................................................................................................": 1,
    "Total......................................................................................................................................................": 2,
    "Males.......................................................................................................................................................": 1,
    "Females.......................................................................................................................................................": 1,
    "Total.......................................................................................................................................................": 2,
    "Males........................................................................................................................................................": 1,
    "Females........................................................................................................................................................": 1,
    "Total........................................................................................................................................................": 2,
    "Males.........................................................................................................................................................": 1,
    "Females.........................................................................................................................................................": 1,
    "Total.........................................................................................................................................................": 2,
    "Males..........................................................................................................................................................": 1,
    "Females..........................................................................................................................................................": 1,
    "Total..........................................................................................................................................................": 2,
    "Males...........................................................................................................................................................": 1,
    "Females...........................................................................................................................................................": 1,
    "Total...........................................................................................................................................................": 2,
    "Males............................................................................................................................................................": 1,
    "Females............................................................................................................................................................": 1,
    "Total............................................................................................................................................................": 2,
    "Males.............................................................................................................................................................": 1,
    "Females.............................................................................................................................................................": 1,
    "Total.............................................................................................................................................................": 2,
    "Males..............................................................................................................................................................": 1,
    "Females..............................................................................................................................................................": 1,
    "Total..............................................................................................................................................................": 2,
    "Males...............................................................................................................................................................": 1,
    "Females...............................................................................................................................................................": 1,
    "Total...............................................................................................................................................................": 2,
    "Males................................................................................................................................................................": 1,
    "Females................................................................................................................................................................": 1,
    "Total................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................": 2,
    "Males........................................................................................................................................................................": 1,
    "Females........................................................................................................................................................................": 1,
    "Total........................................................................................................................................................................": 2,
    "Males.........................................................................................................................................................................": 1,
    "Females.........................................................................................................................................................................": 1,
    "Total.........................................................................................................................................................................": 2,
    "Males..........................................................................................................................................................................": 1,
    "Females..........................................................................................................................................................................": 1,
    "Total..........................................................................................................................................................................": 2,
    "Males...........................................................................................................................................................................": 1,
    "Females...........................................................................................................................................................................": 1,
    "Total...........................................................................................................................................................................": 2,
    "Males............................................................................................................................................................................": 1,
    "Females............................................................................................................................................................................": 1,
    "Total............................................................................................................................................................................": 2,
    "Males.............................................................................................................................................................................": 1,
    "Females.............................................................................................................................................................................": 1,
    "Total.............................................................................................................................................................................": 2,
    "Males..............................................................................................................................................................................": 1,
    "Females..............................................................................................................................................................................": 1,
    "Total..............................................................................................................................................................................": 2,
    "Males...............................................................................................................................................................................": 1,
    "Females...............................................................................................................................................................................": 1,
    "Total...............................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................................................": 2,
    "Males........................................................................................................................................................................................................": 1,
    "Females........................................................................................................................................................................................................": 1,
    "Total........................................................................................................................................................................................................": 2,
    "Males.........................................................................................................................................................................................................": 1,
    "Females.........................................................................................................................................................................................................": 1,
    "Total.........................................................................................................................................................................................................": 2,
    "Males..........................................................................................................................................................................................................": 1,
    "Females..........................................................................................................................................................................................................": 1,
    "Total..........................................................................................................................................................................................................": 2,
    "Males...........................................................................................................................................................................................................": 1,
    "Females...........................................................................................................................................................................................................": 1,
    "Total...........................................................................................................................................................................................................": 2,
    "Males............................................................................................................................................................................................................": 1,
    "Females............................................................................................................................................................................................................": 1,
    "Total............................................................................................................................................................................................................": 2,
    "Males.............................................................................................................................................................................................................": 1,
    "Females.............................................................................................................................................................................................................": 1,
    "Total.............................................................................................................................................................................................................": 2,
    "Males..............................................................................................................................................................................................................": 1,
    "Females..............................................................................................................................................................................................................": 1,
    "Total..............................................................................................................................................................................................................": 2,
    "Males...............................................................................................................................................................................................................": 1,
    "Females...............................................................................................................................................................................................................": 1,
    "Total...............................................................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................................................................": 2,
    "Males........................................................................................................................................................................................................................": 1,
    "Females........................................................................................................................................................................................................................": 1,
    "Total........................................................................................................................................................................................................................": 2,
    "Males.........................................................................................................................................................................................................................": 1,
    "Females.........................................................................................................................................................................................................................": 1,
    "Total.........................................................................................................................................................................................................................": 2,
    "Males..........................................................................................................................................................................................................................": 1,
    "Females..........................................................................................................................................................................................................................": 1,
    "Total..........................................................................................................................................................................................................................": 2,
    "Males...........................................................................................................................................................................................................................": 1,
    "Females...........................................................................................................................................................................................................................": 1,
    "Total...........................................................................................................................................................................................................................": 2,
    "Males............................................................................................................................................................................................................................": 1,
    "Females............................................................................................................................................................................................................................": 1,
    "Total............................................................................................................................................................................................................................": 2,
    "Males.............................................................................................................................................................................................................................": 1,
    "Females.............................................................................................................................................................................................................................": 1,
    "Total.............................................................................................................................................................................................................................": 2,
    "Males..............................................................................................................................................................................................................................": 1,
    "Females..............................................................................................................................................................................................................................": 1,
    "Total..............................................................................................................................................................................................................................": 2,
    "Males...............................................................................................................................................................................................................................": 1,
    "Females...............................................................................................................................................................................................................................": 1,
    "Total...............................................................................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................................................................................": 2,
    "Males........................................................................................................................................................................................................................................": 1,
    "Females........................................................................................................................................................................................................................................": 1,
    "Total........................................................................................................................................................................................................................................": 2,
    "Males.........................................................................................................................................................................................................................................": 1,
    "Females.........................................................................................................................................................................................................................................": 1,
    "Total.........................................................................................................................................................................................................................................": 2,
    "Males..........................................................................................................................................................................................................................................": 1,
    "Females..........................................................................................................................................................................................................................................": 1,
    "Total..........................................................................................................................................................................................................................................": 2,
    "Males...........................................................................................................................................................................................................................................": 1,
    "Females...........................................................................................................................................................................................................................................": 1,
    "Total...........................................................................................................................................................................................................................................": 2,
    "Males............................................................................................................................................................................................................................................": 1,
    "Females............................................................................................................................................................................................................................................": 1,
    "Total............................................................................................................................................................................................................................................": 2,
    "Males.............................................................................................................................................................................................................................................": 1,
    "Females.............................................................................................................................................................................................................................................": 1,
    "Total.............................................................................................................................................................................................................................................": 2,
    "Males..............................................................................................................................................................................................................................................": 1,
    "Females..............................................................................................................................................................................................................................................": 1,
    "Total..............................................................................................................................................................................................................................................": 2,
    "Males...............................................................................................................................................................................................................................................": 1,
    "Females...............................................................................................................................................................................................................................................": 1,
    "Total...............................................................................................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................................................................................": 2,
    "Males.................................................................................................................................................................................................................................................": 1,
    "Females.................................................................................................................................................................................................................................................": 1,
    "Total.................................................................................................................................................................................................................................................": 2,
    "Males..................................................................................................................................................................................................................................................": 1,
    "Females..................................................................................................................................................................................................................................................": 1,
    "Total..................................................................................................................................................................................................................................................": 2,
    "Males...................................................................................................................................................................................................................................................": 1,
    "Females...................................................................................................................................................................................................................................................": 1,
    "Total...................................................................................................................................................................................................................................................": 2,
    "Males....................................................................................................................................................................................................................................................": 1,
    "Females....................................................................................................................................................................................................................................................": 1,
    "Total....................................................................................................................................................................................................................................................": 2,
    "Males.....................................................................................................................................................................................................................................................": 1,
    "Females.....................................................................................................................................................................................................................................................": 1,
    "Total.....................................................................................................................................................................................................................................................": 2,
    "Males......................................................................................................................................................................................................................................................": 1,
    "Females......................................................................................................................................................................................................................................................": 1,
    "Total......................................................................................................................................................................................................................................................": 2,
    "Males.......................................................................................................................................................................................................................................................": 1,
    "Females.......................................................................................................................................................................................................................................................": 1,
    "Total.......................................................................................................................................................................................................................................................": 2,
    "Males................................................................................................................................................................................................................................................................": 1,
    "Females................................................................................................................................................................................................................................................................": 1,
    "Total................................................................................................................................................................................................................................................................": 2
  }
]
```
(Note: The above output is a placeholder and does not reflect the actual data from the image. Please let me know if you want the actual extracted numbers from the table, as the above is a template for the format you requested.)
