```json
[
  {"age": "All Religions", "Persons": 1225608, "Males": 621687, "Females": 603321, "Unmarried_Persons": 438854, "Unmarried_Males": 255561, "Unmarried_Females": 183293, "Married_Persons": 657515, "Married_Males": 332369, "Married_Females": 325146, "Widowed_Persons": 129649, "Widowed_Males": 33757, "Widowed_Females": 94882},
  {"age": "0-1", "Persons": 26043, "Males": 10392, "Females": 10911, "Unmarried_Persons": 19439, "Unmarried_Males": 8808, "Unmarried_Females": 10622, "Married_Persons": 832, "Married_Males": 297, "Married_Females": 265, "Widowed_Persons": 31, "Widowed_Males": 27, "Widowed_Females": 7},
  {"age": "1-5", "Persons": 91752, "Males": 44750, "Females": 49902, "Unmarried_Persons": 81255, "Unmarried_Males": 39392, "Unmarried_Females": 41586, "Married_Persons": 6696, "Married_Males": 4331, "Married_Females": 2671, "Widowed_Persons": 651, "Widowed_Males": 359, "Widowed_Females": 314},
  {"age": "5-10", "Persons": 90096, "Males": 45242, "Females": 45594, "Unmarried_Persons": 67895, "Unmarried_Males": 36157, "Unmarried_Females": 31138, "Married_Persons": 22720, "Married_Males": 8587, "Married_Females": 11446, "Widowed_Persons": 591, "Widowed_Males": 293, "Widowed_Females": 280},
  {"age": "10-15", "Persons": 82009, "Males": 43418, "Females": 39521, "Unmarried_Persons": 48760, "Unmarried_Males": 31313, "Unmarried_Females": 16412, "Married_Persons": 31374, "Married_Males": 11897, "Married_Females": 21907, "Widowed_Persons": 865, "Widowed_Males": 254, "Widowed_Females": 812},
  {"age": "15-20", "Persons": 67441, "Males": 33422, "Females": 40251, "Unmarried_Persons": 17780, "Unmarried_Males": 14511, "Unmarried_Females": 1979, "Married_Persons": 49522, "Married_Males": 15302, "Married_Females": 36050, "Widowed_Persons": 1603, "Widowed_Males": 249, "Widowed_Females": 1054},
  {"age": "20-25", "Persons": 81317, "Males": 71005, "Females": 32014, "Unmarried_Persons": 16246, "Unmarried_Males": 51869, "Unmarried_Females": 6217, "Married_Persons": 120549, "Married_Males": 25915, "Married_Females": 61629, "Widowed_Persons": 7787, "Widowed_Males": 2119, "Widowed_Females": 4068},
  {"age": "25-40", "Persons": 111537, "Males": 70060, "Females": 74851, "Unmarried_Persons": 9582, "Unmarried_Males": 11869, "Unmarried_Females": 1201, "Married_Persons": 154040, "Married_Males": 54413, "Married_Females": 59626, "Widowed_Persons": 12915, "Widowed_Males": 4778, "Widoved_Females": 14101},
  {"age": "40-50", "Persons": 74866, "Males": 41545, "Females": 26325, "Unmarried_Persons": 3038, "Unmarried_Males": 2629, "Unmarried_Females": 1209, "Married_Persons": 51849, "Married_Males": 23524, "Married_Females": 28325, "Widowed_Persons": 20973, "Widowed_Males": 5372, "Widowed_Females": 15796},
  {"age": "50-60", "Persons": 53176, "Males": 27796, "Females": 25690, "Unmarried_Persons": 3837, "Unmarried_Males": 1630, "Unmarried_Females": 341, "Married_Persons": 29132, "Married_Males": 18681, "Married_Females": 10775, "Widowed_Persons": 20273, "Widowed_Males": 5536, "Widowed_Females": 14701},
  {"age": "60 and over", "Persons": 40981, "Males": 21527, "Females": 19454, "Unmarried_Persons": 1566, "Unmarried_Males": 1283, "Unmarried_Females": 183, "Married_Persons": 18427, "Married_Males": 15266, "Married_Females": 8303, "Widowed_Persons": 20988, "Widowed_Males": 6518, "Widowed_Females": 11616},
  {"age": "Adi Hindu", "Persons": 194819, "Males": 98250, "Females": 96560, "Unmarried_Persons": 70621, "Unmarried_Males": 41045, "Unmarried_Females": 29576, "Married_Persons": 106008, "Married_Males": 53141, "Married_Females": 52867, "Widowed_Persons": 18181, "Widowed_Males": 4064, "Widowed_Females": 14117},
  {"age": "0-1", "Persons": 6947, "Males": 2780, "Females": 3101, "Unmarried_Persons": 5674, "Unmarried_Males": 2629, "Unmarried_Females": 3045, "Married_Persons": 366, "Married_Males": 151, "Married_Females": 115, "Widowed_Persons": 7, "Widowed_Males": 7, "Widowed_Females": 0},
  {"age": "1-5", "Persons": 27189, "Males": 13742, "Females": 14446, "Unmarried_Persons": 26077, "Unmarried_Males": 13221, "Unmarried_Females": 12564, "Married_Persons": 3062, "Married_Males": 1450, "Married_Females": 1518, "Widowed_Persons": 49, "Widowed_Males": 41, "Widowed_Females": 51},
  {"age": "5-10", "Persons": 23992, "Males": 12898, "Females": 11094, "Unmarried_Persons": 18655, "Unmarried_Males": 10580, "Unmarried_Females": 5309, "Married_Persons": 5701, "Married_Males": 2228, "Married_Females": 3473, "Widowed_Persons": 206, "Widowed_Males": 90, "Widowed_Females": 116},
  {"age": "10-15", "Persons": 19639, "Males": 10838, "Females": 9126, "Unmarried_Persons": 11105, "Unmarried_Males": 7651, "Unmarried_Females": 3071, "Married_Persons": 9502, "Married_Males": 5031, "Married_Females": 5518, "Widowed_Persons": 279, "Widowed_Males": 145, "Widowed_Females": 134},
  {"age": "15-20", "Persons": 14571, "Males": 7442, "Females": 7199, "Unmarried_Persons": 4149, "Unmarried_Males": 5424, "Unmarried_Females": 876, "Married_Persons": 10152, "Married_Males": 2911, "Married_Females": 6354, "Widowed_Persons": 565, "Widowed_Males": 107, "Widowed_Females": 342},
  {"age": "20-25", "Persons": 16574, "Males": 8986, "Females": 8104, "Unmarried_Persons": 3247, "Unmarried_Males": 2634, "Unmarried_Females": 813, "Married_Persons": 10514, "Married_Males": 11061, "Married_Females": 16173, "Widowed_Persons": 7503, "Widowed_Males": 166, "Widowed_Females": 1316},
  {"age": "25-40", "Persons": 35866, "Males": 14459, "Females": 13013, "Unmarried_Persons": 1139, "Unmarried_Males": 591, "Unmarried_Females": 315, "Married_Persons": 22800, "Married_Males": 12985, "Married_Females": 9815, "Widowed_Persons": 2364, "Widowed_Males": 677, "Widowed_Females": 1687},
  {"age": "40-50", "Persons": 18965, "Males": 9557, "Females": 8948, "Unmarried_Persons": 867, "Unmarried_Males": 577, "Unmarried_Females": 290, "Married_Persons": 15563, "Married_Males": 8473, "Married_Females": 5110, "Widowed_Persons": 4455, "Widowed_Males": 1607, "Widowed_Females": 3548},
  {"age": "50-60", "Persons": 12465, "Males": 4511, "Females": 5291, "Unmarried_Persons": 501, "Unmarried_Males": 126, "Unmarried_Females": 175, "Married_Persons": 6068, "Married_Males": 2837, "Married_Females": 2231, "Widowed_Persons": 4939, "Widowed_Males": 831, "Widowed_Females": 2908},
  {"age": "60 and over", "Persons": 6637, "Males": 3549, "Females": 3068, "Unmarried_Persons": 281, "Unmarried_Males": 135, "Unmarried_Females": 146, "Married_Persons": 4544, "Married_Males": 2545, "Married_Females": 1999, "Widowed_Persons": 3812, "Widowed_Males": 869, "Widowed_Females": 2943},
  {"age": "Muslim", "Persons": 195586, "Males": 99536, "Females": 95950, "Unmarried_Persons": 80311, "Unmarried_Males": 46130, "Unmarried_Females": 34181, "Married_Persons": 97699, "Married_Males": 49470, "Married_Females": 48229, "Widowed_Persons": 17576, "Widowed_Males": 4036, "Widowed_Females": 13540},
  {"age": "0-1", "Persons": 5817, "Males": 3739, "Females": 1628, "Unmarried_Persons": 5519, "Unmarried_Males": 2319, "Unmarried_Females": 2071, "Married_Persons": 309, "Married_Males": 260, "Married_Females": 76, "Widowed_Persons": 19, "Widowed_Males": 10, "Widowed_Females": 9},
  {"age": "1-5", "Persons": 24577, "Males": 12318, "Females": 13026, "Unmarried_Persons": 25822, "Unmarried_Males": 14045, "Unmarried_Females": 12577, "Married_Persons": 1504, "Unmarried_Males": 1290, "Married_Females": 781, "Widowed_Persons": 83, "Widowed_Males": 12, "Widowed_Females": 73},
  {"age": "5-10", "Persons": 26270, "Males": 13610, "Females": 13417, "Unmarried_Persons": 20979, "Unmarried_Males": 10601, "Unmarried_Females": 12778, "Married_Persons": 3507, "Married_Males": 1792, "Married_Females": 1552, "Widowed_Persons": 89, "Widowed_Males": 34, "Widowed_Females": 100},
  {"age": "10-15", "Persons": 21276, "Males": 11208, "Females": 9962, "Unmarried_Persons": 14962, "Unmarried_Males": 8368, "Unmarried_Females": 6051, "Married_Persons": 6262, "Married_Males": 2710, "Married_Females": 3820, "Widowed_Persons": 157, "Widowed_Males": 70, "Widowed_Females": 180},
  {"age": "15-20", "Persons": 17229, "Males": 8749, "Females": 8989, "Unmarried_Persons": 5549, "Unmarried_Males": 4143, "Unmarried_Females": 1297, "Married_Persons": 11425, "Married_Males": 2506, "Married_Females": 7652, "Widowed_Persons": 286, "Widowed_Males": 131, "Widowed_Females": 580},
  {"age": "20-25", "Persons": 30583, "Males": 17521, "Females": 19058, "Unmarried_Persons": 5363, "Unmarried_Males": 4990, "Unmarried_Females": 364, "Married_Persons": 26466, "Married_Males": 12512, "Married_Females": 16551, "Widowed_Persons": 7554, "Widowed_Males": 814, "Widowed_Females": 1240},
  {"age": "25-40", "Persons": 46705, "Males": 14285, "Females": 19120, "Unmarried_Persons": 2384, "Unmarried_Males": 1152, "Unmarried_Females": 231, "Married_Persons": 32712, "Married_Males": 17511, "Married_Females": 9701, "Widowed_Persons": 5109, "Widowed_Males": 621, "Widowed_Females": 2588},
  {"age": "40-50", "Persons": 16502, "Males": 9070, "Females": 7728, "Unmarried_Persons": 752, "Unmarried_Males": 635, "Unmarried_Females": 117, "Married_Persons": 12753, "Married_Males": 7578, "Married_Females": 4175, "Widowed_Persons": 3997, "Widowed_Males": 740, "Widowed_Females": 3151},
  {"age": "50-60", "Persons": 10253, "Males": 5204, "Females": 5026, "Unmarried_Persons": 426, "Unmarried_Males": 289, "Unmarried_Females": 137, "Married_Persons": 5981, "Married_Males": 4009, "Married_Females": 1921, "Widowed_Persons": 3846, "Widowed_Males": 851, "Widowed_Females": 2965},
  {"age": "60 and over", "Persons": 9420, "Males": 4843, "Females": 4577, "Unmarried_Persons": 653, "Unmarried_Males": 531, "Unmarried_Females": 122, "Married_Persons": 4412, "Married_Males": 3156, "Married_Females": 1256, "Widowed_Persons": 4355, "Widowed_Males": 1156, "Widowed_Females": 3199}
]
```
