TABLE VII.
AGE, SEX &amp; CIVIL CONDITION.
58
TABLE VII.

# TABLE VII.
## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 133,599 | 67,943 | 65,656 | 47,270 | 27,848 | 19,422 | 73,530 | 37,281 | 36,249 | 12,799 | 2,814 | 9,985  |
|   | 0-1 | 4,242 | 1,907 | 2,335 | 4,222 | 1,897 | 2,325 | 20 | 10 | 10 | .. | .. | ..  |
|   | 1-5 | 19,733 | 9,707 | 10,026 | 19,314 | 9,567 | 9,747 | 399 | 138 | 261 | 20 | 2 | 18  |
|   | 5-10 | 13,010 | 6,419 | 6,591 | 9,215 | 5,691 | 3,524 | 3,715 | 717 | 2,998 | 80 | 11 | 69  |
|   | 10-15 | 14,456 | 7,065 | 7,391 | 7,986 | 5,588 | 2,398 | 6,257 | 1,463 | 4,794 | 213 | 14 | 199  |
|   | 15-20 | 12,312 | 5,801 | 6,511 | 2,711 | 2,200 | 511 | 9,342 | 3,569 | 5,773 | 259 | 32 | 227  |
|   | 20-30 | 25,039 | 12,107 | 12,932 | 2,376 | 1,811 | 565 | 21,448 | 10,121 | 11,327 | 1,215 | 175 | 1,040  |
|   | 30-40 | 18,087 | 9,509 | 8,578 | 640 | 487 | 153 | 15,264 | 8,635 | 6,629 | 2,183 | 387 | 1,796  |
|   | 40-50 | 12,515 | 7,181 | 5,334 | 522 | 415 | 107 | 9,024 | 6,081 | 2,943 | 2,969 | 685 | 2,284  |
|   | 50-60 | 7,425 | 4,232 | 3,173 | 119 | 68 | 51 | 4,490 | 3,476 | 1,014 | 2,816 | 708 | 2,108  |
|   | 60 and over | 6,780 | 3,995 | 2,785 | 165 | 124 | 41 | 3,571 | 3,071 | 500 | 3,044 | 800 | 2,244  |
