TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | 40-50 | 13,663 | 6,519 | 7,114 | 326 | 162 | 164 | 10,306 | 5,757 | 4,549 | 3,031 | 630 | 2,401  |
|   | 50-60 | 7,572 | 4,068 | 3,504 | 116 | 73 | 43 | 4,887 | 3,438 | 1,449 | 2,569 | 557 | 2,012  |
|   | 60 and over | 5,482 | 2,669 | 2,813 | 189 | 155 | 34 | 2,832 | 1,981 | 851 | 2,461 | 533 | 1,928  |
|   | Muslim | 81,155 | 41,667 | 39,488 | 33,102 | 19,120 | 13,982 | 40,055 | 21,178 | 19,777 | 7,098 | 1,369 | 5,729  |
|   | 0-1 | 2,337 | 1,008 | 1,139 | 2,174 | 1,087 | 1,087 | 60 | 10 | 50 | 3 | 1 | 2  |
|   | 1-5 | 12,096 | 5,359 | 6,737 | 11,453 | 5,118 | 6,335 | 596 | 229 | 367 | 47 | 12 | 35  |
|   | 5-10 | 10,719 | 5,546 | 5,173 | 8,740 | 1,723 | 4,017 | 1,905 | 811 | 1,094 | 74 | 12 | 62  |
|   | 10-15 | 8,658 | 5,020 | 3,638 | 5,850 | 3,989 | 1,861 | 2,726 | 1,014 | 1,712 | 82 | 17 | 65  |
|   | 15-20 | 7,630 | 4,112 | 3,488 | 2,548 | 2,272 | 276 | 4,942 | 1,842 | 3,100 | 140 | 28 | 112  |
|   | 20-30 | 14,220 | 7,290 | 6,930 | 1,749 | 1,533 | 216 | 11,823 | 5,617 | 6,206 | 648 | 140 | 508  |
|   | 30-40 | 9,961 | 4,878 | 5,083 | 329 | 244 | 85 | 8,390 | 4,421 | 3,969 | 1,242 | 213 | 1,029  |
|   | 40-50 | 8,677 | 5,034 | 3,613 | 113 | 69 | 44 | 6,885 | 4,704 | 2,181 | 1,679 | 261 | 1,418  |
|   | 50-60 | 3,939 | 1,855 | 2,084 | 88 | 55 | 33 | 2,212 | 1,504 | 708 | 1,639 | 296 | 1,343  |
|   | 60 and over | 3,018 | 1,445 | 1,573 | 58 | 30 | 28 | 1,416 | 1,026 | 390 | 1,544 | 389 | 1,155  |
