TABLE VII.                                                                                   AGE, SEX &amp; CIVIL CONDITION.                                                                                   68
TABLE VII.                                                                                   AGE, SEX &amp; CIVIL CONDITION.                                                                                   68

# TABLE VII.

## Age, Sex and Civil Condition Part II. Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | 60 and over | 20,551 | 11,147 | 9,404 | 277 | 198 | 79 | 11,372 | 7,588 | 3,784 | 8,902 | 3,361 | 5,541  |
|   | Adi Hindu | 95,051 | 47,701 | 47,350 | 34,594 | 19,388 | 15,206 | 53,126 | 26,704 | 26,422 | 7,331 | 1,609 | 5,722  |
|   | 0-1 | 3,140 | 1,517 | 1,623 | 3,029 | 1,508 | 1,521 | 109 | 8 | 101 | 2 | 1 | 1  |
|   | 1-5 | 14,507 | 7,230 | 7,277 | 13,766 | 7,106 | 6,660 | 727 | 122 | 605 | 14 | 2 | 12  |
|   | 5-10 | 10,901 | 5,378 | 5,523 | 7,858 | 4,363 | 3,495 | 2,998 | 1,005 | 1,993 | 45 | 10 | 35  |
|   | 10-15 | 11,632 | 6,170 | 5,162 | 6,719 | 4,099 | 2,020 | 4,850 | 1,755 | 3,095 | 63 | 16 | 47  |
|   | 15-20 | 7,811 | 3,356 | 4,455 | 1,501 | 961 | 542 | 6,180 | 2,358 | 3,822 | 128 | 37 | 91  |
|   | 20-30 | 15,470 | 7,038 | 8,432 | 1,008 | 558 | 450 | 13,900 | 6,328 | 7,572 | 562 | 152 | 410  |
|   | 30-40 | 12,439 | 6,001 | 6,438 | 374 | 102 | 272 | 10,875 | 5,661 | 5,214 | 1,190 | 238 | 952  |
|   | 40-50 | 8,881 | 4,737 | 4,144 | 216 | 53 | 163 | 6,904 | 4,389 | 2,515 | 1,761 | 295 | 1,466  |
|   | 50-60 | 6,258 | 3,883 | 2,375 | 78 | 25 | 53 | 4,461 | 3,470 | 991 | 1,719 | 388 | 1,331  |
|   | 60 and over | 4,012 | 2,091 | 1,921 | 43 | 13 | 30 | 2,122 | 1,608 | 514 | 1,847 | 470 | 1,377  |
