```json
[
  {"age": "All Religions", "Persons": 722081, "Males": 367170, "Females": 354911, "Unmarried_Persons": 252290, "Unmarried_Males": 135554, "Unmarried_Females": 116736, "Married_Persons": 416054, "Married_Males": 208240, "Married_Females": 207814, "Widowed_Persons": 53738, "Widowed_Males": 20379, "Widowed_Females": 33359},
  {"age": "50-60", "Persons": 29466, "Males": 15687, "Females": 13829, "Unmarried_Persons": 821, "Unmarried_Males": 685, "Unmarried_Females": 146, "Married_Persons": 16421, "Married_Males": 11851, "Married_Females": 4570, "Widowed_Persons": 12222, "Widowed_Males": 3163, "Widowed_Females": 9119},
  {"age": "60 and over", "Persons": 21597, "Males": 10518, "Females": 11140, "Unmarried_Persons": 429, "Unmarried_Males": 245, "Unmarried_Females": 191, "Married_Persons": 9969, "Married_Males": 6025, "Married_Females": 2536, "Widowed_Persons": 11608, "Widowed_Males": 2680, "Widowed_Females": 8819},
  {"age": "Adi Hindu", "Persons": 141820, "Males": 71492, "Females": 70328, "Unmarried_Persons": 46495, "Unmarried_Males": 27449, "Unmarried_Females": 19046, "Married_Persons": 83141, "Married_Males": 40929, "Married_Females": 42212, "Widowed_Persons": 12184, "Widowed_Males": 3114, "Widowed_Females": 9070},
  {"age": "0-1", "Persons": 5015, "Males": 2831, "Females": 2172, "Unmarried_Persons": 4741, "Unmarried_Males": 2614, "Unmarried_Females": 2127, "Married_Persons": 270, "Married_Males": 228, "Married_Females": 42, "Widowed_Persons": 4, "Widowed_Males": 1, "Widowed_Females": 3},
  {"age": "1-5", "Persons": 19969, "Males": 9900, "Females": 10137, "Unmarried_Persons": 15701, "Unmarried_Males": 8787, "Unmarried_Females": 8235, "Married_Persons": 4270, "Married_Males": 1009, "Married_Females": 901, "Widowed_Persons": 182, "Widowed_Males": 48, "Widowed_Females": 134},
  {"age": "5-10", "Persons": 19359, "Males": 9635, "Females": 8740, "Unmarried_Persons": 12509, "Unmarried_Males": 7500, "Unmarried_Females": 5049, "Married_Persons": 5552, "Married_Males": 1977, "Married_Females": 3575, "Widowed_Persons": 208, "Widowed_Males": 92, "Widowed_Females": 116},
  {"age": "10-15", "Persons": 15222, "Males": 7800, "Females": 7422, "Unmarried_Persons": 6575, "Unmarried_Males": 5148, "Unmarried_Females": 2157, "Married_Persons": 8591, "Married_Males": 3255, "Married_Females": 5105, "Widowed_Persons": 256, "Widowed_Males": 127, "Widowed_Females": 129},
  {"age": "15-20", "Persons": 12742, "Males": 6537, "Females": 6425, "Unmarried_Persons": 1759, "Unmarried_Males": 1515, "Unmarried_Females": 275, "Married_Persons": 10719, "Married_Males": 4906, "Married_Females": 6029, "Widowed_Persons": 244, "Widowed_Males": 116, "Widowed_Females": 121},
  {"age": "20-30", "Persons": 26534, "Males": 13574, "Females": 13463, "Unmarried_Persons": 1894, "Unmarried_Males": 1642, "Unmarried_Females": 225, "Married_Persons": 23905, "Married_Males": 11369, "Married_Females": 12550, "Widowed_Persons": 1045, "Widowed_Males": 299, "Widowed_Females": 655},
  {"age": "30-40", "Persons": 17774, "Males": 8825, "Females": 8953, "Unmarried_Persons": 565, "Unmarried_Males": 497, "Unmarried_Females": 158, "Married_Persons": 15019, "Married_Males": 7765, "Married_Females": 7221, "Widowed_Persons": 2194, "Widowed_Males": 620, "Widowed_Females": 1571},
  {"age": "40-50", "Persons": 13063, "Males": 6549, "Females": 7114, "Unmarried_Persons": 126, "Unmarried_Males": 162, "Unmarried_Females": 84, "Married_Persons": 10360, "Married_Males": 5757, "Married_Females": 5419, "Widowed_Persons": 2568, "Widowed_Males": 577, "Widowed_Females": 2013},
  {"age": "50-60", "Persons": 7572, "Males": 4068, "Females": 3504, "Unmarried_Persons": 116, "Unmarried_Males": 73, "Unmarried_Females": 43, "Married_Persons": 4887, "Married_Males": 3138, "Married_Females": 1749, "Widowed_Persons": 2569, "Widowed_Males": 857, "Widowed_Females": 1712},
  {"age": "60 and over", "Persons": 5482, "Males": 2460, "Females": 2833, "Unmarried_Persons": 189, "Unmarried_Males": 135, "Unmarried_Females": 51, "Married_Persons": 2815, "Married_Males": 1396, "Married_Females": 831, "Widowed_Persons": 2401, "Widowed_Males": 203, "Widowed_Females": 1928},
  {"age": "Muslim", "Persons": 81155, "Males": 41667, "Females": 39488, "Unmarried_Persons": 33102, "Unmarried_Males": 19120, "Unmarried_Females": 13982, "Married_Persons": 40955, "Married_Males": 21178, "Married_Females": 19777, "Widowed_Persons": 7098, "Widowed_Males": 1369, "Widowed_Females": 5729},
  {"age": "0-1", "Persons": 2237, "Males": 1098, "Females": 1139, "Unmarried_Persons": 2174, "Unmarried_Males": 1087, "Unmarried_Females": 1087, "Married_Persons": 60, "Married_Males": 10, "Married_Females": 50, "Widowed_Persons": 3, "Widowed_Males": 1, "Widowed_Females": 2},
  {"age": "1-5", "Persons": 12596, "Males": 5359, "Females": 5379, "Unmarried_Persons": 11855, "Unmarried_Males": 5318, "Unmarried_Females": 6385, "Married_Persons": 596, "Married_Males": 209, "Married_Females": 307, "Widowed_Persons": 37, "Widowed_Males": 12, "Widowed_Females": 35},
  {"age": "5-10", "Persons": 16719, "Males": 8346, "Females": 8373, "Unmarried_Persons": 8740, "Unmarried_Males": 4725, "Unmarried_Females": 4017, "Married_Persons": 1965, "Married_Males": 841, "Married_Females": 1091, "Widowed_Persons": 72, "Widowed_Males": 17, "Widowed_Females": 55},
  {"age": "10-15", "Persons": 8658, "Males": 5020, "Females": 4608, "Unmarried_Persons": 3850, "Unmarried_Males": 3089, "Unmarried_Females": 1501, "Married_Persons": 2726, "Married_Males": 1014, "Married_Females": 1712, "Widowed_Persons": 62, "Widowed_Males": 23, "Widowed_Females": 112},
  {"age": "15-20", "Persons": 5630, "Males": 4132, "Females": 4488, "Unmarried_Persons": 2548, "Unmarried_Males": 2272, "Unmarried_Females": 270, "Married_Persons": 5542, "Married_Males": 2647, "Married_Females": 4202, "Widowed_Persons": 543, "Widowed_Males": 140, "Widowed_Females": 208},
  {"age": "20-30", "Persons": 11420, "Males": 7240, "Females": 6560, "Unmarried_Persons": 1749, "Unmarried_Males": 1531, "Unmarried_Females": 210, "Married_Persons": 8520, "Married_Males": 5617, "Married_Females": 3960, "Widowed_Persons": 1242, "Widowed_Males": 243, "Widowed_Females": 1549},
  {"age": "30-40", "Persons": 9961, "Males": 5375, "Females": 4613, "Unmarried_Persons": 113, "Unmarried_Males": 68, "Unmarried_Females": 54, "Married_Persons": 6885, "Married_Males": 4704, "Married_Females": 2181, "Widowed_Persons": 1679, "Widowed_Males": 261, "Widowed_Females": 1418},
  {"age": "40-50", "Persons": 8567, "Males": 4578, "Females": 4643, "Unmarried_Persons": 58, "Unmarried_Males": 55, "Unmarried_Females": 35, "Married_Persons": 2212, "Married_Males": 4221, "Married_Females": 3069, "Widowed_Persons": 1542, "Widowed_Males": 471, "Widowed_Females": 1343},
  {"age": "50-60", "Persons": 6939, "Males": 3937, "Females": 2684, "Unmarried_Persons": 38, "Unmarried_Males": 48, "Unmarried_Females": 54, "Married_Persons": 5512, "Married_Males": 1501, "Married_Females": 708, "Widowed_Persons": 1639, "Widowed_Males": 296, "Widowed_Females": 1543},
  {"age": "60 and over", "Persons": 3018, "Males": 1415, "Females": 1573, "Unmarried_Persons": 38, "Unmarried_Males": 30, "Unmarried_Females": 28, "Married_Persons": 1446, "Married_Males": 1028, "Married_Females": 390, "Widowed_Persons": 1544, "Widowed_Males": 580, "Widowed_Females": 1155}
]
```
