TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 197,784 | 100,913 | 96,871 | 79,382 | 46,515 | 32,867 | 103,727 | 51,204 | 52,523 | 14,675 | 3,194 | 11,481  |
|   | 0-1 | 6,145 | 2,902 | 3,243 | 6,143 | 2,900 | 3,243 | 2 | 2 | .. | .. | .. | ..  |
|   | 1-5 | 29,677 | 14,876 | 14,801 | 29,382 | 14,744 | 14,638 | 245 | 112 | 133 | 50 | 20 | 30  |
|   | 5-10 | 24,855 | 12,783 | 12,072 | 21,123 | 12,162 | 8,961 | 3,633 | 599 | 3,034 | 99 | 22 | 77  |
|   | 10-15 | 22,122 | 11,430 | 10,092 | 14,425 | 9,665 | 4,760 | 7,504 | 1,713 | 5,791 | 193 | 52 | 141  |
|   | 15-20 | 17,732 | 8,390 | 9,342 | 4,076 | 3,634 | 442 | 13,262 | 4,672 | 8,590 | 394 | 84 | 310  |
|   | 20-30 | 35,768 | 17,099 | 18,069 | 2,683 | 2,267 | 416 | 31,526 | 14,434 | 17,092 | 1,559 | 398 | 1,161  |
|   | 30-40 | 27,086 | 14,440 | 12,646 | 604 | 388 | 216 | 23,634 | 13,511 | 10,123 | 2,848 | 541 | 2,307  |
|   | 40-50 | 17,270 | 9,975 | 7,295 | 532 | 440 | 92 | 13,481 | 8,835 | 4,646 | 3,257 | 700 | 2,557  |
|   | 50-60 | 9,786 | 5,328 | 4,458 | 232 | 171 | 61 | 6,398 | 4,459 | 1,939 | 3,156 | 698 | 2,458  |
|   | 60 and over | 7,343 | 3,690 | 3,653 | 182 | 144 | 38 | 4,042 | 2,867 | 1,175 | 3,119 | 679 | 2,440  |
