AGE, SEX &amp; CIVIL CONDITION.
76
TABLE VII.

TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 131,904 | 66,921 | 64,983 | 46,989 | 26,135 | 20,854 | 74,389 | 37,257 | 37,132 | 10,526 | 3,529 | 6,997  |
|   | 0-1 | 4,852 | 2,415 | 2,437 | 4,680 | 2,270 | 2,410 | 168 | 142 | 26 | 4 | 3 | 1  |
|   | 1-5 | 19,368 | 9,069 | 10,299 | 18,055 | 8,617 | 9,438 | 1,225 | 417 | 808 | 58 | 35 | 53  |
|   | 5-10 | 16,892 | 8,028 | 8,264 | 12,577 | 7,155 | 5,422 | 4,141 | 1,401 | 2,740 | 174 | 72 | 102  |
|   | 10-15 | 14,412 | 7,032 | 6,810 | 7,931 | 5,284 | 2,617 | 6,373 | 2,280 | 4,093 | 108 | 38 | 70  |
|   | 15-20 | 10,516 | 4,994 | 5,522 | 1,767 | 1,435 | 332 | 8,567 | 3,503 | 5,064 | 182 | 56 | 126  |
|   | 20-30 | 22,630 | 0,912 | 11,718 | 1,193 | 861 | 332 | 20,472 | 9,797 | 10,675 | 985 | 254 | 711  |
|   | 30-40 | 17,669 | 8,934 | 8,735 | 357 | 218 | 139 | 15,405 | 8,225 | 7,180 | 1,907 | 491 | 1,110  |
|   | 40-50 | 11,706 | 6,287 | 5,419 | 199 | 142 | 57 | 9,212 | 5,451 | 3,761 | 2,295 | 694 | 1,601  |
|   | 50-60 | 7,318 | 4,243 | 3,075 | 79 | 45 | 34 | 4,972 | 3,419 | 1,553 | 2,267 | 779 | 1,488  |
|   | 60 and over | 6,541 | 3,837 | 2,704 | 151 | 108 | 43 | 3,854 | 2,622 | 1,232 | 2,536 | 1,107 | 1,429  |
