TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | AGE, SEX & CIVIL CONDITION  |
|   | 60 and over | 26,295 | 12,245 | 14,050 | 808 | 562 | 246 | 10,748 | 7,715 | 3,033 | 14,739 | 3,968 | 10,771 |   |
|   | Adi Hindu | 112,992 | 55,726 | 57,266 | 51,852 | 27,899 | 23,953 | 51,659 | 25,488 | 26,171 | 9,481 | 2,339 | 7,142 |   |
|   | 0-1 | 2,776 | 1,356 | 1,420 | 2,751 | 1,350 | 1,401 | 25 | 6 | 19 | .. | .. | .. |   |
|   | 1-5 | 14,959 | 7,250 | 7,709 | 14,449 | 6,999 | 7,450 | 463 | 245 | 218 | 47 | 6 | 41 |   |
|   | 5-10 | 15,158 | 7,467 | 7,691 | 13,317 | 6,897 | 6,420 | 1,716 | 547 | 1,169 | 125 | 23 | 102 |   |
|   | 10-15 | 13,807 | 6,792 | 7,015 | 10,026 | 5,696 | 4,330 | 3,421 | 1,034 | 2,387 | 360 | 62 | 298 |   |
|   | 15-20 | 10,448 | 5,056 | 5,392 | 3,820 | 2,697 | 1,123 | 6,353 | 2,293 | 4,060 | 275 | 66 | 209 |   |
|   | 20-30 | 21,860 | 10,222 | 11,938 | 4,272 | 2,551 | 1,721 | 10,398 | 7,427 | 8,971 | 1,190 | 244 | 946 |   |
|   | 30-40 | 16,561 | 8,164 | 8,007 | 1,867 | 1,042 | 825 | 12,328 | 6,656 | 5,672 | 2,066 | 466 | 1,600 |   |
|   | 40-50 | 9,789 | 5,261 | 4,528 | 813 | 393 | 420 | 6,634 | 4,305 | 2,329 | 2,342 | 563 | 1,779 |   |
|   | 50-60 | 5,130 | 2,672 | 2,458 | 377 | 210 | 167 | 2,956 | 1,972 | 984 | 1,797 | 490 | 1,307 |   |
|   | 60 and over | 2,804 | 1,486 | 1,318 | 160 | 64 | 96 | 1,365 | 1,003 | 362 | 1,279 | 419 | 860 |   |
