AGE, SEX &amp; CIVIL CONDITION.
54
TABLE VII.

# TABLE VII.
## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 227,274 | 116,291 | 110,983 | 88,847 | 52,012 | 36,835 | 120,169 | 60,770 | 59,399 | 18,258 | 3,509 | 14,749  |
|   | 0-1 | 7,293 | 3,104 | 4,189 | 7,290 | 3,104 | 4,186 | 3 | .. | 3 | .. | .. | ..  |
|   | 1-5 | 37,762 | 19,282 | 18,480 | 36,190 | 18,377 | 17,813 | 1,539 | 897 | 642 | 33 | 8 | 25  |
|   | 5-10 | 29,052 | 15,457 | 13,595 | 23,520 | 13,919 | 9,601 | 5,461 | 1,535 | 3,926 | 71 | 3 | 68  |
|   | 10-15 | 23,452 | 12,118 | 11,334 | 14,132 | 9,865 | 4,267 | 9,198 | 2,242 | 6,956 | 122 | 11 | 111  |
|   | 15-20 | 20,431 | 10,022 | 10,409 | 4,715 | 4,286 | 429 | 15,412 | 5,680 | 9,732 | 304 | 56 | 248  |
|   | 20-30 | 39,580 | 19,186 | 20,394 | 2,338 | 2,027 | 311 | 35,650 | 16,878 | 18,772 | 1,592 | 281 | 1,311  |
|   | 30-40 | 29,237 | 15,009 | 14,168 | 309 | 199 | 110 | 25,573 | 14,390 | 11,183 | 3,355 | 480 | 2,875  |
|   | 40-50 | 20,853 | 11,279 | 9,574 | 190 | 134 | 56 | 15,861 | 10,307 | 5,554 | 4,802 | 838 | 3,964  |
|   | 50-60 | 11,321 | 6,050 | 5,571 | 113 | 70 | 43 | 6,965 | 5,075 | 1,890 | 4,243 | 905 | 3,338  |
|   | 60 and over | 8,293 | 4,724 | 3,569 | 50 | 31 | 19 | 4,507 | 3,766 | 741 | 3,736 | 927 | 2,809  |
