64
65

# TABLE VII.

## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
|   | Adi Hindu | 140,336 | 70,323 | 70,013 | 49,538 | 26,560 | 22,978 | 81,177 | 41,299 | 39,878 | 9,621 | 2,464 | 7,157  |
|   | 0-1 | 4,507 | 2,205 | 2,302 | 4,360 | 2,172 | 2,188 | 146 | 32 | 114 | 1 | 1 | ..  |
|   | 1-5 | 20,120 | 10,056 | 10,064 | 18,625 | 9,314 | 9,311 | 1,472 | 727 | 745 | 23 | 15 | 8  |
|   | 5-10 | 17,600 | 8,768 | 8,832 | 13,532 | 7,246 | 6,286 | 3,991 | 1,492 | 2,499 | 77 | 30 | 47  |
|   | 10-15 | 15,906 | 7,676 | 8,230 | 8,359 | 5,000 | 3,359 | 7,450 | 2,618 | 4,802 | 97 | 28 | 69  |
|   | 15-20 | 12,344 | 5,511 | 6,833 | 2,186 | 1,404 | 722 | 10,000 | 4,007 | 5,993 | 158 | 40 | 118  |
|   | 20-30 | 24,218 | 12,116 | 12,102 | 1,524 | 831 | 693 | 21,944 | 11,066 | 10,878 | 750 | 219 | 531  |
|   | 30-40 | 19,428 | 10,186 | 9,242 | 377 | 237 | 140 | 17,089 | 9,317 | 7,742 | 1,962 | 602 | 1,360  |
|   | 40-50 | 12,995 | 6,830 | 6,165 | 334 | 181 | 153 | 10,167 | 6,044 | 4,123 | 3,494 | 605 | 1,889  |
|   | 50-60 | 7,684 | 4,102 | 3,582 | 120 | 45 | 75 | 5,387 | 3,526 | 1,861 | 2,177 | 531 | 1,646  |
|   | 60 and over | 5,534 | 2,873 | 2,661 | 121 | 70 | 51 | 3,531 | 2,110 | 1,121 | 1,882 | 393 | 1,489  |
|   | Muslim | 124,441 | 65,065 | 59,376 | 52,487 | 30,642 | 21,845 | 62,642 | 32,216 | 30,426 | 9,312 | 2,207 | 7,105  |
|   | 0-1 | 3,602 | 1,755 | 1,847 | 3,540 | 1,722 | 1,818 | 61 | 33 | 28 | 1 | .. | 1  |
|   | 1-5 | 16,402 | 8,431 | 7,971 | 14,972 | 7,586 | 7,386 | 1,415 | 812 | 573 | 15 | 3 | 12  |
|   | 5-10 | 17,219 | 9,462 | 7,757 | 13,688 | 7,450 | 6,238 | 3,497 | 2,001 | 1,496 | 34 | 11 | 23  |
|   | 10-15 | 15,214 | 7,845 | 7,369 | 10,256 | 5,636 | 4,620 | 4,883 | 2,191 | 2,692 | 75 | 18 | 57  |
|   | 15-20 | 12,225 | 6,345 | 5,880 | 4,122 | 3,281 | 841 | 7,827 | 3,029 | 4,798 | 276 | 35 | 241  |
|   | 20-30 | 22,214 | 10,897 | 11,317 | 3,984 | 3,467 | 517 | 17,511 | 7,182 | 10,329 | 719 | 218 | 471  |
|   | 30-40 | 15,612 | 8,564 | 7,048 | 1,127 | 949 | 178 | 12,924 | 7,173 | 5,751 | 1,561 | 442 | 1,119  |
|   | 40-50 | 9,977 | 5,670 | 4,307 | 371 | 292 | 79 | 7,519 | 4,929 | 2,590 | 2,087 | 449 | 1,638  |
|   | 50-60 | 6,352 | 3,535 | 2,817 | 187 | 144 | 43 | 3,957 | 2,912 | 1,015 | 2,208 | 449 | 1,759  |
|   | 60 and over | 5,624 | 2,561 | 3,063 | 240 | 115 | 125 | 3,048 | 1,894 | 1,154 | 2,336 | 552 | 1,784  |
